ISO;country;emissions_co2
UKR;Ukraine;185.4554
URY;Uruguay;6.790116761
USA;United States;4752.07932
UZB;Uzbekistan;125.6536225
VCT;Saint Vincent and the Grenadines;0.232840745
VEN;Venezuela;104.6724586
VGB;British Virgin Islands;0.182326905
VNM;Vietnam;321.4133382
VUT;Vanuatu;0.223016434
WSM;Samoa;0.360229572
YEM;Yemen;12.04724534
ZAF;South Africa;435.5228117
ZMB;Zambia;7.010965431
ZWE;Zimbabwe;12.29322746
;;
EU27;EU27;2774.926525
GLOBAL TOTAL;GLOBAL TOTAL;37857.57575
